LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,DATE,INFLATION,INTEREST,UNEMPLOYMENT,GDP_CUBIC,GDP_LINEAR,SHARE_PRICES,GDPGAP_LINEAR,GDPGAP_CUBIC
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1985-01,3.231752,9.67,10.6,2.863962596,1.527769748,17.04774,-1.189419752,-1.194115017
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1985-02,3.546702,10.575,10.8,2.732339195,1.526840008,18.15087,-1.193434878,-1.202822592
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1985-03,3.531623,11.3,11,2.596224793,1.525910268,18.18951,-1.197450005,-1.211524532
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1985-04,3.532893,10.1625,10.8,2.45563994,1.524980528,18.33331,-1.201465131,-1.22021802
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1985-05,4.01475,9.75,10.6,2.310605185,1.524050789,18.68487,-1.205480258,-1.228900238
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1985-06,4.073004,9.4875,10.7,2.161141076,1.523121049,18.96522,-1.209495385,-1.237568369
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1985-07,4.654195,9.26,10.4,2.007268163,1.522191309,19.25701,-1.213510511,-1.246219595
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1985-08,4.471246,9.1125,10.3,1.849006995,1.521261569,19.42118,-1.217525638,-1.254851099
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1985-09,4.330194,9.0625,10.2,1.686378121,1.52033183,18.92073,-1.221540765,-1.263460064
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1985-10,4.321442,8.71,10.3,1.51940209,1.51940209,18.42432,-1.225555891,-1.272043671
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1985-11,4.230911,8.825,10.3,1.348803121,1.39933582,19.41044,-1.229571018,-1.280599104
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1985-12,4.597746,9.2375,10.1,1.178120117,1.279269549,20.01808,-1.233586144,-1.289123546
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1986-01,4.56996,10.16,9.8,-0.440677464,0.171132248,19.81674,-1.571618473,-1.581400486
